"Fecha","Consentimiento"," 1. En relación con el servicio Nequi, selecciona la opción que te describa mejor:","2. En relación con el servicio Daviplata, selecciona la opción que te describa mejor:"," 3. En relación con el servicio Addi, selecciona la opción que te describa mejor:","4. En relación con el servicio Sistecrédito, selecciona la opción que te describa mejor:","5. En general, ¿qué tan seguro(a) te sientes al usar servicios Fintech para manejar tu dinero o tus datos personales?"," 6. ¿Qué tan seguro(a) te sientes al usar billeteras digitales como Nequi o Daviplata?","7. ¿Qué tan seguro(a) te sientes al usar créditos digitales como Addi o Sistecrédito?","8.  ¿Cuáles de los siguientes factores influyen más en tu confianza o desconfianza hacia las plataformas Fintech?","9. ¿Has tenido alguna experiencia negativa al usar billeteras o créditos digitales (errores, fraudes, demoras, mala atención)?","10. En tu opinión, ¿las plataformas Fintech ofrecen una protección de datos personales igual, mejor o peor que la banca tradicional?","11. En general, ¿qué tan probable es que en los próximos 12 meses continúes usando o recomiendes a otras personas las billeteras o créditos digitales?","12. ¿Cómo calificas tu nivel de conocimiento o educación financiera para manejar servicios Fintech?","13. Selecciona tu rango de edad:","14. ¿Qué tanto conocimiento consideras que tienes sobre las plataformas Fintech (Nequi, Daviplata, Addi, Sistecrédito)?","15. Selecciona tu género","16. Ciudad o municipio donde resides actualmente:"
"11/5/2025 18:07:19","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Nada seguro(a).","Poco seguro(a)","Poco seguro(a)","Reputación o respaldo de la empresa., Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Probable.","Muy bajo.","18–24 años.","Muy bajo.","Femenino","Medellin "
"11/5/2025 18:32:40","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Alto.","18–24 años.","Alto.","Femenino","Carepa"
"11/5/2025 18:42:43","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Masculino","Bello"
"11/5/2025 18:45:38","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Masculino","APARTADÓ ANTIOQUIA"
"11/5/2025 18:50:27","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo uso actualmente.","Seguro(a).","Poco seguro(a)","Seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","No.","Mejor que la banca tradicional.","Probable.","Alto.","18–24 años.","Bajo.","Femenino","Buga"
"11/5/2025 18:52:08","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Poco seguro(a)","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","35–44 años.","Bajo.","Masculino","Apartadó "
"11/5/2025 18:53:21","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Alto.","35–44 años.","Alto.","Femenino","Itagui"
"11/5/2025 18:57:59","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo uso actualmente.","Poco seguro(a)","Poco seguro(a)","Poco seguro(a)","Experiencias previas de fraude o estafa.","Sí.","Igual que la banca tradicional.","Poco probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellín "
"11/5/2025 19:05:08","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo usé antes, pero ya no.","Poco seguro(a)","Poco seguro(a)","Seguro(a).","Experiencias previas de fraude o estafa., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Probable.","Muy bajo.","25–34 años.","Bajo.","Femenino","La ceja "
"11/5/2025 19:17:29","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Probable.","Bajo","35–44 años.","Alto.","Masculino","Medellín "
"11/5/2025 19:28:15","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","35–44 años.","Alto.","Masculino","Medellin "
"11/5/2025 20:29:02","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Muy seguro(a).","Experiencias previas de fraude o estafa.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","18–24 años.","Alto.","Femenino","Bello"
"11/5/2025 20:29:17","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Muy seguro(a).","Poco seguro(a)","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Bajo.","Femenino","Apartado "
"11/5/2025 20:30:15","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Medellín"
"11/5/2025 20:32:19","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Educación financiera o conocimiento del servicio.","Sí.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Medellín "
"11/5/2025 20:34:21","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Alto.","18–24 años.","Alto.","Femenino","Sabaneta Antioquía "
"11/5/2025 20:53:37","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo uso actualmente.","Poco seguro(a)","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Alto.","18–24 años.","Alto.","Masculino","Medellín "
"11/5/2025 21:02:58","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Poco seguro(a)","Seguro(a).","Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Bajo","25–34 años.","Alto.","Femenino","Bello"
"11/5/2025 21:39:03","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","35–44 años.","Alto.","Masculino","La Ceja"
"11/5/2025 21:41:18","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Muy seguro(a).","Muy seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Bajo","45–54 años.","Alto.","Femenino","Medellín "
"11/5/2025 21:44:17","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Nada seguro(a).","Poco seguro(a)","Poco seguro(a)","Experiencias previas de fraude o estafa.","Sí.","Mejor que la banca tradicional.","Probable.","Muy bajo.","45–54 años.","Bajo.","Femenino","Medellín "
"11/6/2025 7:31:24","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Muy seguro(a).","Muy seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Alto.","35–44 años.","Alto.","Masculino","Envigado"
"11/6/2025 8:50:03","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","Mejor que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Femenino","Sonson"
"11/6/2025 12:08:52","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Poco seguro(a)","Poco seguro(a)","Reputación o respaldo de la empresa.","Sí.","Peor que la banca tradicional.","Poco probable.","Bajo","35–44 años.","Muy bajo.","Masculino","Apartado "
"11/6/2025 12:15:45","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Nada seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Probable.","Muy bajo.","35–44 años.","Bajo.","Femenino","Medellín "
"11/6/2025 14:19:43","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Poco seguro(a)","Poco seguro(a)","Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Medellín "
"11/6/2025 14:38:58","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","No lo conozco.","Lo uso actualmente.","Muy seguro(a).","Poco seguro(a)","Seguro(a).","Experiencias previas de fraude o estafa.","No.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Alto.","Masculino","carepa antioquia"
"11/6/2025 16:25:46","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Nada seguro(a).","Poco seguro(a)","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Alto.","25–34 años.","Bajo.","Femenino","Uraba antioquia "
"11/6/2025 19:28:13","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Chigorodó "
"11/6/2025 22:52:38","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Poco seguro(a)","Seguro(a).","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","Peor que la banca tradicional.","Probable.","Bajo","35–44 años.","Bajo.","Femenino","Itagui"
"11/7/2025 21:06:19","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Poco seguro(a)","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Alto.","25–34 años.","Alto.","Femenino","Medellin "
"11/8/2025 9:06:25","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Probable.","Alto.","18–24 años.","Alto.","Femenino","Medellín"
"11/8/2025 9:06:51","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Poco seguro(a)","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","No.","Igual que la banca tradicional.","Probable.","Alto.","18–24 años.","Alto.","Masculino","Medellín"
"11/8/2025 9:07:30","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Muy seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Itagüí "
"11/8/2025 9:12:48","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","No lo conozco.","Lo uso actualmente.","Seguro(a).","Muy seguro(a).","Seguro(a).","Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","35–44 años.","Alto.","Femenino","Bello"
"11/8/2025 9:17:38","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Muy seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Nada probable.","Bajo","25–34 años.","Muy bajo.","Femenino","Bello"
"11/8/2025 10:00:26","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Recomendaciones de familiares o amigos.","Sí.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","35–44 años.","Bajo.","Femenino","Bello"
"11/8/2025 11:16:08","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Poco seguro(a)","Reputación o respaldo de la empresa.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Bajo","25–34 años.","Bajo.","Masculino","Carepa Antioquia "
"11/8/2025 11:17:39","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Poco seguro(a)","Nada seguro(a).","Poco seguro(a)","Experiencias previas de fraude o estafa., Recomendaciones de familiares o amigos.","No.","Peor que la banca tradicional.","Poco probable.","Muy bajo.","35–44 años.","Muy bajo.","Femenino","El Santuario "
"11/8/2025 11:28:34","Acepto participar de forma voluntaria y anónima.","No lo conozco.","No lo conozco.","No lo conozco.","No lo conozco.","Nada seguro(a).","Nada seguro(a).","Nada seguro(a).","Experiencias previas de fraude o estafa.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","45–54 años.","Muy bajo.","Femenino","Medellín "
"11/8/2025 11:35:27","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","Lo usé antes, pero ya no.","No lo conozco.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","El santuario "
"11/8/2025 12:19:46","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Poco seguro(a)","Poco seguro(a)","Poco seguro(a)","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","45–54 años.","Bajo.","Masculino","Bello"
"11/8/2025 12:36:27","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa.","No.","Peor que la banca tradicional.","Poco probable.","Alto.","45–54 años.","Alto.","Femenino","Medellín "
"11/8/2025 16:35:18","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Poco seguro(a)","Seguro(a).","Muy seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Alto.","18–24 años.","Bajo.","Masculino","Medellin"
"11/10/2025 14:05:57","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Probable.","Alto.","35–44 años.","Bajo.","Femenino","Medellin"
"11/10/2025 14:07:07","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Nada seguro(a).","Nada seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Muy bajo.","Femenino","Medellín "
"11/10/2025 14:07:38","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Muy seguro(a).","Poco seguro(a)","Experiencias previas de fraude o estafa.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Medellín "
"11/10/2025 14:11:20","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Poco seguro(a)","Nada seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","Sí.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","18–24 años.","Bajo.","Femenino","Medellín"
"11/10/2025 17:00:02","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Masculino","Medellín "
"11/10/2025 17:03:25","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Poco seguro(a)","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","Sí.","Peor que la banca tradicional.","Probable.","Bajo","25–34 años.","Bajo.","Masculino","Medellín"
"11/10/2025 17:03:44","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","No lo conozco.","No lo conozco.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Bajo.","Masculino","Medellin"
"11/10/2025 17:06:26","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Muy probable.","Muy alto.","25–34 años.","Alto.","Femenino","medellin"
"11/10/2025 17:06:30","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Seguro(a).","Muy seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Muy probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellín"
"11/10/2025 17:06:31","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Alto.","Femenino","Medellin"
"11/10/2025 17:07:57","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Poco seguro(a)","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellín"
"11/10/2025 17:10:21","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Nada seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Muy alto","Masculino","Medellín "
"11/10/2025 17:10:25","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","Sí.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Femenino","Medellin"
"11/10/2025 17:26:28","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Poco seguro(a)","Nada seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Medellin"
"11/10/2025 17:31:46","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Muy seguro(a).","Muy seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Probable.","Alto.","25–34 años.","Alto.","Femenino","Medellin"
"11/10/2025 17:37:30","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Muy seguro(a).","Nada seguro(a).","Educación financiera o conocimiento del servicio.","Sí.","Igual que la banca tradicional.","Nada probable.","Muy alto.","25–34 años.","Muy alto","Masculino","Medellín "
"11/10/2025 18:24:54","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Poco seguro(a)","Seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","18–24 años.","Bajo.","Femenino","Bello"
"11/11/2025 8:31:22","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo usé antes, pero ya no.","Muy seguro(a).","Muy seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Probable.","Alto.","25–34 años.","Bajo.","Femenino","Medellin"
"11/11/2025 9:16:30","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Seguro(a).","Muy seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Muy probable.","Muy alto.","35–44 años.","Alto.","Femenino","Medellín "
"11/11/2025 9:18:47","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellin"
"11/11/2025 9:31:20","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellin "
"11/11/2025 9:43:19","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Poco seguro(a)","Poco seguro(a)","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","Sí.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","35–44 años.","Bajo.","Femenino","Medellín "
